iter	Passed	Remaining
0	1	152
1	2	146
2	4	147
3	5	138
4	7	137
5	8	134
6	10	132
7	11	132
8	12	130
9	14	128
10	15	127
11	17	127
12	18	124
13	20	123
14	21	121
15	22	120
16	24	118
17	25	117
18	27	115
19	28	114
20	29	112
21	31	110
22	32	109
23	34	107
24	35	106
25	36	104
26	38	103
27	39	101
28	40	99
29	42	98
30	43	96
31	45	96
32	46	94
33	47	93
34	49	91
35	50	89
36	52	88
37	53	87
38	54	85
39	56	84
40	57	82
41	58	80
42	59	78
43	60	77
44	62	75
45	63	74
46	65	73
47	66	72
48	67	70
49	69	69
50	70	67
51	71	66
52	73	65
53	74	63
54	75	61
55	76	60
56	78	59
57	79	57
58	80	56
59	82	54
60	83	53
61	85	52
62	86	50
63	88	49
64	89	48
65	91	46
66	92	45
67	93	44
68	95	42
69	96	41
70	98	40
71	99	38
72	101	37
73	102	35
74	103	34
75	105	33
76	106	31
77	107	30
78	109	29
79	110	27
80	111	26
81	113	24
82	114	23
83	115	22
84	117	20
85	118	19
86	119	17
87	121	16
88	122	15
89	124	13
90	125	12
91	127	11
92	128	9
93	130	8
94	131	6
95	132	5
96	134	4
97	135	2
98	136	1
99	138	0
