iter	Passed	Remaining
0	164	164828
1	166	83181
2	168	55925
3	169	42247
4	171	34061
5	172	28571
6	173	24636
7	175	21708
8	176	19419
9	177	17590
10	179	16104
11	180	14864
12	182	13818
13	183	12924
14	185	12148
15	186	11462
16	187	10862
17	189	10322
18	190	9842
19	192	9411
20	193	9020
21	194	8663
22	196	8334
23	197	8048
24	199	7777
25	200	7525
26	202	7294
27	203	7076
28	205	6872
29	206	6684
30	208	6507
31	209	6344
32	211	6186
33	212	6045
34	214	5908
35	215	5782
36	217	5656
37	218	5538
38	220	5427
39	221	5321
40	223	5219
41	224	5120
42	225	5025
43	227	4937
44	228	4855
45	230	4774
46	231	4696
47	233	4623
48	234	4551
49	235	4480
50	237	4414
51	238	4351
52	240	4291
53	242	4240
54	243	4184
55	245	4130
56	246	4077
57	247	4026
58	249	3978
59	251	3932
60	252	3887
61	254	3842
62	255	3800
63	257	3759
64	258	3718
65	260	3684
66	261	3647
67	263	3608
68	264	3574
69	266	3539
70	267	3504
71	269	3474
72	271	3443
73	273	3416
74	274	3385
75	276	3356
76	277	3325
77	278	3296
78	280	3269
79	281	3240
80	283	3212
81	284	3188
82	285	3155
83	287	3130
84	288	3107
85	290	3083
86	291	3060
87	293	3039
88	294	3017
89	296	2995
90	297	2972
91	299	2953
92	300	2932
93	302	2912
94	303	2894
95	305	2875
96	306	2856
97	308	2837
98	309	2818
99	311	2800
100	312	2782
101	314	2765
102	315	2748
103	317	2731
104	318	2717
105	320	2700
106	321	2684
107	323	2670
108	324	2655
109	326	2639
110	327	2624
111	329	2609
112	330	2594
113	331	2580
114	333	2567
115	335	2554
116	336	2538
117	337	2525
118	339	2513
119	340	2500
120	342	2488
121	343	2473
122	345	2461
123	346	2450
124	348	2437
125	349	2427
126	351	2414
127	352	2402
128	354	2392
129	355	2379
130	356	2367
131	358	2356
132	359	2344
133	361	2333
134	362	2323
135	363	2311
136	365	2302
137	366	2291
138	368	2281
139	369	2271
140	371	2261
141	372	2248
142	373	2239
143	375	2229
144	376	2220
145	378	2211
146	379	2203
147	381	2196
148	383	2187
149	384	2181
150	386	2173
151	387	2164
152	389	2157
153	391	2150
154	392	2141
155	394	2133
156	396	2126
157	397	2118
158	399	2111
159	400	2103
160	401	2093
161	403	2085
162	404	2077
163	406	2070
164	407	2063
165	409	2056
166	410	2049
167	412	2042
168	413	2035
169	415	2028
170	416	2021
171	418	2014
172	419	2007
173	421	2000
174	423	1995
175	424	1989
176	426	1982
177	427	1975
178	429	1968
179	430	1961
180	432	1955
181	433	1948
182	435	1942
183	436	1936
184	438	1930
185	439	1923
186	441	1918
187	443	1913
188	444	1907
189	446	1901
190	447	1894
191	448	1888
192	450	1881
193	451	1875
194	452	1869
195	454	1864
196	456	1860
197	457	1854
198	459	1849
199	460	1843
200	462	1838
201	464	1833
202	465	1828
203	467	1822
204	468	1817
205	470	1812
206	471	1807
207	473	1802
208	474	1796
209	476	1791
210	477	1786
211	479	1782
212	481	1777
213	482	1772
214	484	1767
215	485	1763
216	487	1758
217	488	1753
218	490	1748
219	491	1743
220	493	1738
221	494	1734
222	496	1729
223	497	1724
224	499	1720
225	501	1716
226	502	1711
227	504	1707
228	505	1703
229	507	1698
230	508	1694
231	510	1689
232	511	1684
233	513	1679
234	514	1674
235	515	1669
236	517	1665
237	518	1660
238	520	1656
239	521	1652
240	523	1648
241	524	1643
242	526	1639
243	527	1634
244	529	1630
245	530	1626
246	531	1621
247	533	1618
248	535	1614
249	536	1609
250	538	1605
251	539	1601
252	540	1596
253	542	1592
254	543	1587
255	544	1583
256	546	1579
257	547	1574
258	549	1570
259	550	1566
260	551	1562
261	553	1558
262	554	1555
263	556	1550
264	557	1546
265	558	1542
266	560	1538
267	562	1535
268	563	1531
269	564	1527
270	566	1523
271	567	1519
272	569	1515
273	570	1511
274	571	1507
275	573	1503
276	574	1499
277	575	1495
278	577	1492
279	578	1488
280	580	1485
281	581	1481
282	583	1477
283	584	1473
284	586	1470
285	587	1467
286	589	1463
287	590	1460
288	592	1456
289	593	1453
290	595	1450
291	596	1446
292	598	1443
293	599	1439
294	600	1435
295	602	1432
296	603	1428
297	604	1425
298	606	1421
299	608	1418
300	609	1416
301	611	1412
302	612	1409
303	614	1406
304	615	1402
305	617	1399
306	618	1396
307	619	1392
308	621	1389
309	622	1386
310	624	1383
311	625	1379
312	627	1376
313	628	1373
314	629	1369
315	631	1366
316	632	1363
